datetime,offer_type,active_users,packets_received,packets_sent,throughput_Mbps,latency_ms,jitter_ms,packet_loss_pct
2025-01-01 00:00:00,60Mbps,131241,45461723,31471430,41.58520709648645,40.49589979304999,12.865059419434973,4.807097177985551
2025-01-01 00:00:00,120Mbps,107798,25479673,19135295,81.18315368439029,36.04613355126316,9.650591209798737,2.092682593269328
2025-01-01 00:00:00,240Mbps,0,0,0,161.25254964910832,24.626546289060613,4.2587259306627505,2.2730279640098
2025-01-01 00:00:00,480Mbps,7771,2474930,1219794,337.6206769125102,19.959592402266047,3.7396795118220614,1.5293760721703684
2025-01-01 00:00:00,600Mbps,519,174823,112115,411.2491875062017,26.599180542977,3.7179114754215323,1.58009680696429
2025-01-01 00:00:00,1Gbps,0,0,0,710.4431797502377,16.201649380601122,6.976933159990821,1.251410484356991
2025-01-01 00:00:00,1.5Gbps,1385,384663,264122,1027.4172228308034,23.36347281186773,7.4475777857711645,1.2364188202038717
2025-01-01 01:00:00,60Mbps,0,0,0,42.97225190818438,39.74125526458509,11.979489332721416,4.516836219985595
2025-01-01 01:00:00,120Mbps,187159,66301837,30152568,89.58768071469719,29.137245717220143,8.548241914964239,2.766045696087736
2025-01-01 01:00:00,240Mbps,73200,19192781,14550512,162.24990914585652,28.23837178334758,8.70838497812173,2.24020534190458
2025-01-01 01:00:00,480Mbps,24367,5456230,6261995,360.0847895494086,28.8903113608754,9.117739799598606,1.4059188549336812
2025-01-01 01:00:00,600Mbps,22718,4659094,3775361,341.4076468773077,30.776179188542788,6.0074274698096755,1.243631128193573
2025-01-01 01:00:00,1Gbps,7781,2968554,1458111,600.6215542699554,33.38947022370758,4.463459563452705,0.9574519191320436
2025-01-01 01:00:00,1.5Gbps,2406,867927,428233,1118.6551588276557,27.31042221496509,5.527488432029414,1.4239268304932
2025-01-01 02:00:00,60Mbps,202269,49674643,43298949,41.01701356020669,43.14726805198955,13.855443877693112,4.334867370326072
2025-01-01 02:00:00,120Mbps,169905,38054145,34090125,75.50777554769752,31.23010671950654,8.84409524333465,2.7878819237110286
2025-01-01 02:00:00,240Mbps,131585,35886640,38918541,170.09493375398208,19.57281059017146,7.030305582434901,1.8514023963156414
2025-01-01 02:00:00,480Mbps,86856,19888197,19405186,331.38333684525304,28.591070045001395,8.327312295696707,1.642246576472699
2025-01-01 02:00:00,600Mbps,24682,6751924,6043285,392.7183763561578,29.60095213566802,10.21424458495329,1.0361724357941267
2025-01-01 02:00:00,1Gbps,9668,3243738,1474255,704.982568254382,23.482621729419005,2.3986731378677346,1.220568892441808
2025-01-01 02:00:00,1.5Gbps,3594,1215446,747589,1085.5194322976386,21.750400204985482,4.689210300921982,1.3773884985442342
2025-01-01 03:00:00,60Mbps,278442,85183793,51867575,42.68237980381239,48.20238043807881,13.853098921830181,4.567880194866527
2025-01-01 03:00:00,120Mbps,185171,63919387,52693470,76.07726032149434,34.58579758506272,9.85956308566062,2.46265925019312
2025-01-01 03:00:00,240Mbps,118144,23748399,20571375,171.51686967958418,25.59490957653483,10.814882355622847,1.9754832096068697
2025-01-01 03:00:00,480Mbps,44005,15068889,8166771,351.75728660721194,32.876311228370355,4.400302029963246,1.7056795054399632
2025-01-01 03:00:00,600Mbps,30890,6756722,6337311,444.6618047998347,36.1506315799364,4.0543044740822864,1.0885902478437017
2025-01-01 03:00:00,1Gbps,18144,6865858,4439306,717.0575987408322,26.065009459389536,8.407068154314633,1.1206029500286132
2025-01-01 03:00:00,1.5Gbps,16065,4115121,2468345,1096.9250510823754,21.380878884585254,3.1915483372111084,1.278075057906289
2025-01-01 04:00:00,60Mbps,537360,109133153,155430189,44.14200148227628,44.0328547895344,13.187675508019588,4.079295217912812
2025-01-01 04:00:00,120Mbps,261386,61137806,61038908,81.32091028759787,37.615327304950696,9.513028518369032,2.782261880585318
2025-01-01 04:00:00,240Mbps,123484,39885510,36860971,169.84470127134634,29.457710258896668,4.797392737672087,1.9406695414378186
2025-01-01 04:00:00,480Mbps,97313,26459232,18882495,361.99322983620664,32.35234359350785,7.0717372010839865,1.5708024519403294
